site,ok,status,title,brand_or_shop,price,currency,original_price,discount_percent,rating,review_count,is_bestseller,favorites,materials,dimensions,ships_from,availability,is_ad,free_shipping,source,url,image_url
etsy,,,"Look What I Made Children's Art Signs, 23"" or 30"" \| Personalized and hand painted, Art display sign, Kids artwork display, Child art display",,37.8,USD,42.0,10.0,,9235,True,,,,,,False,False,wall-decor,https://www.etsy.com/listing/1041579889/look-what-i-made-childrens-art-signs-23,https://i.etsystatic.com/20108464/r/il/d17f5c/3214511975/il_340x270.3214511975_p5bg.jpg
etsy,,,"World Map Wall Art Push Pin Map, Cork Board Wooden Travel Map Wall Decor, Wood Wall Map 5th Anniversary Gift, 3 Panel Wall Art",,155.25,USD,207.0,25.0,,7484,True,,,,,,False,True,wall-decor,https://www.etsy.com/listing/1195243862/world-map-wall-art-push-pin-map-cork,https://i.etsystatic.com/23216572/c/3000/2384/0/89/il/0ff0e9/3785287812/il_340x270.3785287812_i86u.jpg
etsy,,,Handcrafted Pine Peg Shelf with Ledge: Entryway Coat Rack,,64.35,USD,85.8,25.0,,4410,True,,,,,,False,True,wall-decor,https://www.etsy.com/listing/1054269840/handcrafted-pine-peg-shelf-with-ledge,https://i.etsystatic.com/13148455/r/il/61cb9f/4862579425/il_340x270.4862579425_p5s5.jpg
etsy,,,Handmade Knitted Wire Name Sign: Nursery Wall Decor,,18.61,USD,33.84,45.0,,314,True,,,,,,False,False,wall-decor,https://www.etsy.com/listing/4366993643/handmade-knitted-wire-name-sign-nursery,https://i.etsystatic.com/54342389/r/il/71cab8/7186837832/il_340x270.7186837832_rij2.jpg
etsy,,,Climbing Men Vinyl Clock Adventurer Gift Wall Decor Bouldering Gifts for Climbers Travel Accessories Hiking Artwork Extreme Sports Fan Art,,49.49,USD,109.98,55.0,,670,False,,,,,,False,False,wall-decor,https://www.etsy.com/listing/1021470748/climbing-men-vinyl-clock-adventurer-gift,https://i.etsystatic.com/19406257/c/1351/1351/76/72/il/846d06/6341333123/il_340x270.6341333123_oqc9.jpg
etsy,,,Personalized Kids Art Display: 3D Laser-Cut Wood Sign with Clips,,19.47,USD,25.96,25.0,,1075,True,,,,,,False,False,wall-decor,https://www.etsy.com/listing/1552250204/personalized-kids-art-display-3d-laser,https://i.etsystatic.com/39298565/r/il/53d26b/5338468897/il_340x270.5338468897_39kh.jpg
etsy,,,"Custom Name Neon Sign for Kids, Nursery Room Decor, Birthday Gift for Kid, Bedroom Neon Sign, Dorm Wall Decor, Graduation Gifts",,24.15,USD,34.5,30.0,,4352,True,,,,,,False,True,wall-decor,https://www.etsy.com/listing/4339965651/custom-name-neon-sign-for-kids-nursery,https://i.etsystatic.com/28716889/r/il/c7fb51/7559323401/il_340x270.7559323401_9cca.jpg
etsy,,,"Wedding Neon Sign, Neon Sign, LED Neon Sign, Personalized Birthday Gift, Family Name Neon Sign, Kids Room Decor, Wall Art, Bridesmaids Gifts",,10.75,USD,43.0,75.0,,17585,True,,,,,,False,True,wall-decor,https://www.etsy.com/listing/4320446333/neon-sign-custom-name-vintage-name-sign,https://i.etsystatic.com/7803638/r/il/105977/7243009177/il_340x270.7243009177_b2lc.jpg
etsy,,,Handcarved Sculptural Vase — Tetra,,249.02,USD,276.68,10.0,,5,False,,,,,,True,True,vases,https://www.etsy.com/listing/4559304426/hand-carved-sculptural-vase-wabi-sabi,https://i.etsystatic.com/30719137/c/827/827/47/198/il/4d8587/8459402829/il_340x270.8459402829_4daj.jpg
etsy,,,"Antique Large Chinese Ceramic Urn With Vases, Handpainted Chinese Ceramic Jar, Large Chinese Ceramic Urn",,391.13,USD,488.91,20.0,,410,True,,,,,,True,False,vases,https://www.etsy.com/listing/1542284065/antique-large-chinese-ceramic-urn-with,https://i.etsystatic.com/30878422/c/1644/1307/154/63/il/cd5e04/5916446722/il_340x270.5916446722_882u.jpg
etsy,,,Vintage Art Nouveau Style Glass Vase - Cameo Style Floral Vase - Decorative Art Glass,,365.46,USD,730.92,50.0,,4754,True,,,,,,True,True,vases,https://www.etsy.com/listing/4559282213/vintage-art-nouveau-style-glass-vase,https://i.etsystatic.com/37348467/r/il/5644fd/8455183251/il_340x270.8455183251_5vn2.jpg
